page,clicks,impressions,ctr,position
"https://www.tennisfrens.com/blog/tennis-return-of-serve-strategy",0,1,0.00,25.00
"https://www.tennisfrens.com/blog/tennis-serve-practice-routine",0,1,0.00,9.00
"https://www.tennisfrens.com/blog/tennis-slice-backhand-mastery",0,1,0.00,74.00
"https://www.tennisfrens.com/blog/tennis-starting-complete-guide",0,1,0.00,24.00
"https://www.tennisfrens.com/blog/tennis-travel-court-finder-guide",0,1,0.00,42.00
"https://www.tennisfrens.com/blog/tennis-wrist-injury-prevention",0,1,0.00,47.00
"https://www.tennisfrens.com/players/alexander-shevchenko",0,1,0.00,10.00
"https://www.tennisfrens.com/players/andy-murray",0,1,0.00,12.00
"https://www.tennisfrens.com/players/anna-kalinskaya",0,1,0.00,1.00
"https://www.tennisfrens.com/players/ashleigh-barty",0,1,0.00,1.00
"https://www.tennisfrens.com/players/belinda-bencic",0,1,0.00,13.00
"https://www.tennisfrens.com/players/billy-harris",0,1,0.00,9.00
"https://www.tennisfrens.com/players/coco-gauff",0,1,0.00,11.00
"https://www.tennisfrens.com/players/donna-vekic",0,1,0.00,13.00
"https://www.tennisfrens.com/players/erika-andreeva",0,1,0.00,11.00
"https://www.tennisfrens.com/players/henrique-rocha",0,1,0.00,10.00
"https://www.tennisfrens.com/players/hong-seong-chan",0,1,0.00,2.00
"https://www.tennisfrens.com/players/jelena-ostapenko",0,1,0.00,6.00
"https://www.tennisfrens.com/players/jessica-pegula",0,1,0.00,4.00
"https://www.tennisfrens.com/players/joao-lucas-reis-da-silva",0,1,0.00,6.00
"https://www.tennisfrens.com/players/juncheng-shang",0,1,0.00,4.00
"https://www.tennisfrens.com/players/laura-siegemund",0,1,0.00,4.00
"https://www.tennisfrens.com/players/linner-tien",0,1,0.00,10.00
"https://www.tennisfrens.com/players/lorenzo-musetti",0,1,0.00,2.00
"https://www.tennisfrens.com/players/maria-sakkari",0,1,0.00,7.00
"https://www.tennisfrens.com/players/nick-kyrgios",0,1,0.00,13.00
"https://www.tennisfrens.com/players/nicolas-jarry",0,1,0.00,7.00
"https://www.tennisfrens.com/players/oceane-dodin",0,1,0.00,8.00
"https://www.tennisfrens.com/players/stefanos-tsitsipas",0,1,0.00,8.00
"https://www.tennisfrens.com/players/sujeong-jang",0,1,0.00,57.00
"https://www.tennisfrens.com/players/thanasi-kokkinakis",0,1,0.00,11.00
"https://www.tennisfrens.com/players/ugo-humbert",0,1,0.00,5.00
"https://www.tennisfrens.com/players/victoria-azarenka",0,1,0.00,16.00
"https://www.tennisfrens.com/players/yuan-yue",0,1,0.00,10.00
"https://www.tennisfrens.com/players/yunchaokete-bu",0,1,0.00,4.00
"https://www.tennisfrens.com/utility",0,1,0.00,3.00
"https://www.tennisfrens.com/utility/equipment-recommendation",0,1,0.00,10.00
"https://www.tennisfrens.com/utility/reaction-test/test",0,1,0.00,19.00
"https://www.tennisfrens.com/utility/tennis-diet",0,1,0.00,18.00
"https://www.tennisfrens.com/utility/tournament-schedule",0,1,0.00,43.00
"https://www.tennisfrens.com/utility/weather-check",0,1,0.00,5.00
