pagePath,pageTitle,screenPageViews,totalUsers,sessions,averageSessionDuration,bounceRate,engagementRate
"/players/novak-djokovic","노박 조코비치 완전 분석 | 플레이 스타일·명경기·ATP 프로필",8,4,4,11.72809325,0,1
"/players/yoshihito-nishioka","요시히토 니시오카 tennis player | ranking, profile, ATP",8,6,6,18.099344666666667,0.5,0.5
"/players/adrian-mannarino","아드리안 만나리노 — 코트 위의 마법사 | 플레이스타일·명장면·최근 경기력",7,5,6,167.04906383333335,0.33333333333333331,0.66666666666666663
"/players/jannik-sinner","야닉 시너 프로필 | 랭킹·전적·이탈리아 ATP 스타",7,6,7,11.710333428571428,0.7142857142857143,0.2857142857142857
"/players/soonwoo-kwon-legacy","권순우 tennis player | ranking, profile, ATP",7,3,3,243.57896366666668,0,1
"/players/tomas-machac","토마시 마하치 프로필 | 랭킹·전적·체코 ATP 선수",7,7,7,29.937451142857139,0.5714285714285714,0.42857142857142855
"/players/ugo-humbert","우고 움베르 — 세계랭킹 상위권 | 플레이스타일·명장면·최근 경기력",7,5,6,11.439103833333334,0.83333333333333337,0.16666666666666666
"/utility/shoe-recommender","AI 테니스화 추���기 | 나에게 딱 맞는 신발 찾기",7,4,4,14.62956025,0,1
"/blog/tennis-club-fee-split-guide","테니스 동호회 회비 기준 — 대관·공·게스트비 나누기",6,4,5,73.456435599999992,0.4,0.6
"/blog/tennis-forehand-impact-timing-guide","테니스 포핸드 임팩트 완전 정복 | 타점·스윙 리듬·회전 타이밍 가이드",6,6,6,113.88955650000001,0,1
"/blog/tennis-shoes-balance-guide","테니스화 선택 완전 가이드 | 접지·지지·쿠션·사이징 균형법",6,5,6,337.01006333333333,0.33333333333333331,0.66666666666666663
"/blog/top-5-tennis-districts-seoul","서울 테니스 생활권 TOP 5 | 동호회·레슨·퇴근 후 코트",6,4,4,43.2273185,0.25,0.75
"/players/alexander-zverev","알렉산더 즈베레프 선수 프로필 | 랭킹·전적·플레이스타일 ATP",6,6,6,336.28193383333337,0.33333333333333331,0.66666666666666663
"/players/amanda-anisimova","아만다 아니시모바 tennis player | ranking, profile, WTA",6,6,6,244.89278666666667,0.33333333333333331,0.66666666666666663
"/players/camilo-ugo-carabelli","카밀로 우고 카라벨리 tennis player | ranking, profile, ATP",6,5,5,35.438047999999995,0.4,0.6
"/players/felix-auger-aliassime","펠릭스 오제-알리아심 완전 분석 | 플레이 스타일·명경기·ATP 프로필",6,4,4,20.5447065,0,1
"/players/gael-monfils","가엘 몽피스 선수 완전 분석 | 플레이 스타일·경력·ATP",6,5,5,148.8119456,0,1
"/players/linda-noskova","린다 노스코바 테니스 선수 | 플레이 스타일·강점·WTA 프로필",6,3,3,371.03828766666669,0,1
"/players/marta-kostyuk-legacy","마르타 코스튜크 테니스 선수 | 플레이 스타일·강점·WTA 프로필",6,4,4,40.730826,0.25,0.75
"/utility/matchday-packing-checklist","테니스 경기일 준비물 체크리스트 | TennisFriends",6,3,3,32.589051,0.66666666666666663,0.33333333333333331
"/blog/serve-return-prediction-guide","테니스 서브 리턴 완전정복 | 토스 읽기·첫 스텝 타이밍·라켓 각도",5,5,5,31.707857999999998,0.4,0.6
"/blog/tennis-backhand-technique-guide","테니스 백핸드의 기술 — 왼손의 리드로 완성하는 정확한 임팩트 | 흔들림 없는 스윙을 만드는 양손 백핸드의 비밀",5,5,5,56.839121999999996,0.4,0.6
"/blog/tennis-beginner-30day-growth-plan","테니스 초보자의 30일 성장 루틴 — 실전 감각을 만드는 훈련 플랜 | 기초부터 경기 감각까지 완성하는 한 달 프로그램",5,3,3,22.800224666666665,0.33333333333333331,0.66666666666666663
"/blog/tennis-etiquette-and-manners","테니스 코트 매너와 10가지 불문율 — 실력보다 빛나는 품격의 기술 | 진짜 고수들의 커뮤니티 생존 전략",5,5,5,45.0086706,0.2,0.8
"/blog/tennis-serve-timing-and-spin-guide","테니스 서브 타이밍과 스핀 컨트롤 완전 가이드 | 리듬으로 서브 완성하기",5,4,5,97.05839,0.6,0.4
"/players/alexandre-muller","알렉상드르 뮐러 tennis player | ranking, profile, ATP",5,3,3,79.535124666666675,0.33333333333333331,0.66666666666666663
"/players/anna-kalinskaya","안나 칼린스카야 테니스 선수 | 플레이 스타일·강점·WTA 프로필",5,5,5,36.828775199999995,0.4,0.6
"/players/aryna-sabalenka","아리나 사발렌카 테니스 선수 | 플레이 스타일·강점·WTA 프로필",5,2,2,15.2865805,0,1
"/players/corentin-moutet","코렌틴 무테 완전 분석 | 플레이 스타일·명경기·ATP 프로필",5,4,4,119.02812025,0,1
"/players/dino-prizmic","디노 프리즈미치 tennis player | ranking, profile, ATP",5,5,5,40.881435800000006,0.2,0.8
"/players/rafael-nadal","라파엘 나달 프로필 | 은퇴·그랜드슬램·클레이 황제",5,4,4,4.014286,0.5,0.5
"/players/yoshihito-nishioka","요시히토 니시오카 테니스 선수 | 플레이 스타일·강점·ATP 프로필",5,5,5,18.2722342,0,1
"/utility/apparel-recommendation","테니스 의류 추천 | TennisFriends",5,3,3,204.2113866666667,0.33333333333333331,0.66666666666666663
