page,query,clicks,impressions,ctr,position
"https://www.tennisfrens.com/players/terence-atmane","테렌스 아트만",0,1,0.00,17.00
"https://www.tennisfrens.com/players/ugo-humbert","우고 움베르",0,1,0.00,12.00
"https://www.tennisfrens.com/players/wang-xinyu","wang xinyu",0,1,0.00,65.00
"https://www.tennisfrens.com/players/wang-xinyu","왕신우",0,1,0.00,12.00
"https://www.tennisfrens.com/players/wang-xinyu","왕신위",0,1,0.00,23.00
"https://www.tennisfrens.com/tennis-rules-quiz","테니스 규칙 pdf",0,1,0.00,75.00
"https://www.tennisfrens.com/utility/calorie-calculator","tennis calorie calculator",0,1,0.00,75.00
"https://www.tennisfrens.com/utility/court-booking","테니스코트",0,1,0.00,54.00
"https://www.tennisfrens.com/utility/mental-training","멘탈 트레이닝",0,1,0.00,25.00
"https://www.tennisfrens.com/utility/mental-training","멘탈트레이닝",0,1,0.00,28.00
"https://www.tennisfrens.com/utility/ntrp-test","ntrp",0,1,0.00,25.00
"https://www.tennisfrens.com/utility/ntrp-test","ntrp 기준",0,1,0.00,37.00
"https://www.tennisfrens.com/utility/ntrp-test","ntrp 뜻",0,1,0.00,21.00
"https://www.tennisfrens.com/utility/reaction-test","반응속도 연습",0,1,0.00,45.00
"https://www.tennisfrens.com/utility/utr-calculator","utr calculator",0,1,0.00,2.00
